leo 獅子座
leona 李奧娜
leonard 倫那德
leopard 豹
leopard 豹子
leopardess 雌豹
leprechaun 妖精
leprosy 痲瘋
les 列斯
lesbian 女性間的
lesbian 女基佬
lesley 雷思麗
less 少Ｄ
less 更小
less 較小
lesser 比較少
lesson 課
lesson 課程
lesson 課業
lest 免得
lester 里斯特
let 俾
let 假定
let 讓
letdown 降低
letdown 減低
lethean 遺忘河的
letitia 列娣蒂亞
lett 列特人
letter 信
lettergram 信件電報
lettuce 生菜
lettuce 萵苣
leucine 生化
leukemia 白血病
leukorrhea 白帶
levant 逃債
level 水平
level 水準
level 平面
level 程度
levels 層次
leveret 小兔
levi 李維
leviable 可徵收
levigate 琢磨
levigation 研粉
levin 閃電
levitate 飄浮空中
levitation 輕輕浮起
levite 猶太史
levy 徵募
lewis 吊楔
lewis 路易斯
lewis 劉易斯
lewisite 路易士劑
lexicology 辭彙學
lexicon 辭典
ley 牧草地
lf 樂富
liability 責任
liability 應負責任
liaise 保持連絡
liaison 聯絡
liana 藤蔓植物
liar 說謊的人
lias 黑侏羅統
libation 獻酒
libeler 誹謗者
libeller 誹謗者
libera 解放
liberal 文科
liberal 自由派的
liberally 寬大地
liberate 解放
liberate 釋放
libertine 放蕩者
liberty 自由
libido 慾望
libra 天秤座
librar 圖書館
librarain 圖書館員
librarian 圖書管理員
library 圖書館
libration 振動
librettist 歌詞作者
lice 蝨子
license 執照
licenser 認可者
licensor 認可者
lichen 青苔
lichenous 青苔
licorice 甘草
lid 蓋
lido 屋外游泳池
lie 扯謊
lie 欺騙
lie 躺下
lie 謊話
liederkran 商標名
lief 欣喜
lieu 場所
lieutenant 少尉
lieutenant 陸軍中尉
life 一生
life 生命
life 生活
lifebelt 救生圈
lifeguard 救生員
lifejacket 救生背心
lifestyle 生活方式
lifetime 平生
lift 笠
lift 提起
lift 電梯
lift 舉起
lifter 舉起的人
ligaments 韌帶
ligate 綁
ligature 連結
liger 獅虎
light 光
light 光亮
light 輕
lighted 點燃
lighten 照亮
lighterman 駁船夫
lightface 細鉛字
lightly 輕輕的
lightness 輕盈
lightpen 光筆
lignin 木質素
ligula 舌狀部
ligule 舌狀片
like 喜歡
like 鍾意
likelihood 多半
likely 大概
likely 可能
likely 多數會…
likely 或許
liken 比喻
likeness 類似
likewise 同樣地，
liking 喜歡
liking 愛好
lilac 紫丁香
liliaceous 百合花
lilith 李莉絲
lillian 麗蓮
lily 百合
limb 手足
limb 四肢
limbus 色彩
lime 石灰
limeade 萊姆汁
limejuicer 英國海軍
limelight 石灰光
limen 門
limerick 五行民謠
limey 英國海軍
limit 范圍
limit 限制
limit 極限
limit 範圍
limitative 限定
limited 有限的
limiter 限制器
limn 描寫
limousine 小型客車
limp 徐行
limp 蹣跚
limpidity 清澄
linage 排列
lincoln 林肯
linden 菩提樹
lindsay 琳賽
line 線
lineament 容貌
lineation 劃線
linebacker 美足球
lined 排列
lineman 前衛
linen 亞麻布
liner 定期機船
linesman 前衛
lineup 陣容
lingerie 女用內衣
linguister 翻譯員
liniment 軟膏
link 連結
link 連環
link 超連結
link 鏈環
linkage 連合
linkboy 古時
linker 連結器
linking 連結
linn 瀑布
linnet 紅雀
linsang 麝香貓
linseed 亞麻子
linstock 火繩桿
lintel 楣
linying 林顈嫻
lionel 賴恩內爾
lionet 小獅子
lip 嘴唇
lipide 脂質
lipreading 讀唇術
lips 嘴唇
lipz 立
liquefier 液化器
liquid 液體
liquidate 償付
liquidated 已償付
liquidise 液化
liquidize 液化
liquor 烈酒
liquor 酒精飲料
lisa 麗莎
lisle 萊爾線
lissome 輕盈
list 單子
listen 傾聽
listen 聽到
listeners 聽眾
listening 傾聽
listerize 消毒
listeth 的三人稱
listing 列出
lit 照亮
lit 點火
litcji 荔枝
literacy 文明能力
literal 文字的
literalism 直譯主義
literally 按照字面
literary 文學的
literate 文學家
literatim 逐字地
literature 文學
literature 文藝
literature 文獻
litharge 一氧化鉛
lithograph 平版印刷
lithology 岩石學
lithopone 鋅鋇白
lithoprint 石版印刷
lithotomy 切石術
litigant 訴訟人
litigate 訴訟
litigate 對簿法庭
litigating 訴訟
litmus 石蕊
litotes 減數分裂
litter 垃圾
litter 殘餘物
litterbug 垃圾蟲
little 小
little 少許
littleness 少量
liu 〦
liucxu 六畜
liuming 流氓
liuyoutu 留有餘地
live 生活
live 住係
live 居住
live 活住
livelihood 生活
liveliness 活潑
livelong 整整
lively 生氣勃勃的
liven 快活
liver 肝臟
liverwort 地錢
liverwurst 肝香腸
livery 出租車
lives 住
lividity 鉛色
living 生的
living 活生生
livingroom 客廳
liz 莉絲
llustrate 圖解
lo 瞧
load 負載
load 貨物
load 裝載
load 載入
loader 載入器
loadstone 磁石
loaf 一塊
loaf 一塊麵
loafer 無賴
loamy 盧拇
loan 借款
loan 掙錢
loan 貸款
loaner 債權人
loathe 憎惡
loathing 非常討厭
lobation 裂片
lobby 大廳
lobby 休息室
lobbyism 陳情運動
lobbyist 遊說者
lobectomy 葉切除術
lobo 灰狼
lobworm 沙蠶
local 地方性的
local 地區性
local 地頭蟲
localise 地方化
locality 位置
locality 場所
localize 地方化
locally 地方性地
locals 當地
located 位於
location 場所
locator 探測器
loci 軌跡
locker 儲藏室
locket 小盒
lockstep 犯人等
lockup 關門時間
locomotive 機關車
loculus 室
locution 說話法
lodge 小屋
lodge 投宿
lodger 寄宿人
lodging 住宿
lodging 寄宿
lodgment 住宿
lofter 高爾夫
loftily 高傲地
loftiness 高傲
lofty 高遠的
log 圓形木材
logan 搖石
loganberry 大楊莓
logarithms 對數
logbook 航行日誌
logfile 登錄檔
logger 樵夫
logging 登錄
logic 邏輯
logical 邏輯的
logicality 合論理性
logician 論理學者
login 登入
logistic 後勤學者
logo 標語
logogram 標記
logos 理法
logroll 協力通過
logrolling 互助合作
logwood 蘇方木
lohan 羅漢
lohsoh 哆嗦
loin 腰
loins 腰部
loir 山鼠類
loiter 閒混
loiter 閒逛
lollipop 棒棒糖
lollop 搖晃著走
lolly 糖
lone 孤單的
lonely 孤獨
lonely 寂寞
lonely 寂寞的
loner 獨行俠
lonesome 寂寞的
long 久
long 好想
long 長
long 遠
longbill 長嘴的鳥
longcloth 上等棉布
longer 較長
longfield 板球
longhair 長髮的人
longhand 普通寫法
longing 切望
longitude 經度
longleg 長腿
longtimer 老資格
longz 農
lonoline 羊毛脂
looby 笨伯
loochoo 琉球
look 見
look 看
look 瞧
look 昅
look 睇
lookout 注意
lookout 眺望
looks 看起來
loom 朦朧現出
loon 懶人
loop 迴圈
loop 圈
loophole 孔
loose 不緊
loose 鬆開的
loosely 鬆弛地
