r Ｒ
recumbency 靠著休息
recuperate 療養
recur 返回
recurrence 再現
recurring 返回
recurs 遞歸
recursion 遞迴
recurve 向後彎曲
recusancy 不服從
recycle 再循環
red 赤
red 紅
red 紅朱
red 紅色
redactor 編輯者
redan 凸角堡
redbreast 駒鳥
redbud 美國紫荊
reddle 赭土
rede 忠告
redeemer 贖主
redefine 重新定義
redeploy 調動
redfish 鮭魚
redhead 紅頭髮
rediffuse 再擴散
redingote 女用外套
redistrict 重新區分
redivivus 再現
redneck 鄉下人
redness 紅色
redoubt 角面堡
redound 歸於
redpoll 紅弱鳥
redraft 改寫
redraw 重劃
redress 再穿上
redshank 赤足鷸
redskin 紅蕃
redstart 紅尾鳥
reduce 減少
reduction 減少
redundancy 多餘
redwing 紅翼柬鳥
redwood 美國杉樹
reed 蘆葦
reedbird 食米鳥
reedify 重建
reeducate 再教育
reelect 改選
reelection 再選
reelection 改選
reemerge 再度出現
reenforce 再實施
reenforce 增強　
reenter 再入
reentrance 再進入
reentry 再入
reeve 穿
reexchange 再交換
reexport 再輸出
ref 參考
ref 裁判員
reface 重修表面
refashion 重行設計
refect 反射
refectory 休息室
refer 交付
refer 指示
referable 可歸因於
refere 參考
reference 參考
reference 參考書
referendum 公民投票
referent 指示物
referrable 可歸因於
refine 提煉
refine 提鍊
refined 精製的
refinement 精美
refiner 精練機
refinery 煉製廠
refining 提煉
refit 重新改裝
reflate 再膨脹
reflection 反射
reflex 反射
reflexive 反身動詞
refloat 再次浮起
refluence 逆流
reform 革新
reformism 改革主義
refract 折射
refraction 屈光度
refractor 折射透鏡
refrain 禁止
refresh 充電
refresh 恢復
refresher 補充物質
refreshmen 身心爽快
refrigerat 冰箱
refuel 補給燃料
refuge 避難所
refund 償還款項
refundable 償還
refurbish 重新磨光
refurnish 重新裝設
refuse 拒絕
refuse 唔得
refuse 辭退
refute 辯駁
reg 雷哲
regain 取回
regain 恢復
regain 重回
regal 帝王的
regale 款待
regalia 徽章
regality 王權
regally 帝王般地
regan 雷根
regard 注意
regard 認為
regard 關心
regardant 深切注視
regardful 小心的
regarding 關於
regardless 不顧
regatta 賽艇
regelate 重新凍結
regelation 復冰
regency 攝政統治
regeneracy 更生
regenesis 再生
regicide 弒君大逆
regiment 一群
regiment 一團
regiment 團
regina 瑞吉娜
regina 蕾珍娜
reginald 雷哲諾德
region 地區
register 註冊
registor 暫存器
registrati 註冊
regress 復原
regression 迴歸
regret 抱歉
regret 遺憾
regroup 重組
regula 正規
regula 有規則
regular 通常的
regularity 有規則
regularity 規則
regularize 規則化
regulate 校正
regulation 規則
regulus 獅子座
rehash 改寫
rehear 覆審
rehearse 排演
rehouse 移往新居
reify 具體化
reigh 主權
reign 支配
reign 朝代
reimburse 歸墊
reinforce 再實施
reins 腎臟
reinsure 再保險
reinter 改葬
reinvest 再投資
reissue 再發行
reiterate 反復
reiver 掠奪者
rejector 抑制器
rejoic 高興
rejoic 歡喜
rejoice 使﹍高興
relapse 再萌發
relate 有關係
relati 親戚
relati 關係
relationsh 關係
relative 相關
relative 親戚
relatives 親戚
relativist 相對論者
relax 弛緩
relaxed 輕鬆
relaxedly 鬆弛地
releas 釋放
releasee 受讓人
releasor 讓渡人
relegation 驅逐
relent 同情
relent 覺得可憐
relentless 凌厲
relevant 有關
reliable 可靠
reliably 可靠地
relic 聖骨
relict 未亡人
relief 解脫
relier 信賴者
religion 宗教
religious 宗教的
reline 重新劃線
reliquary 聖骨匣
relish 美味
relive 重生
reload 再裝填
relocate 重新定位
relocation 重新配置
reluctance 勉強
reluctance 厭惡
reluctantl 勉強地
relume 再燃起
rely 依靠
rely 依賴
remain 仍然
remain 保持
remain 留下
remain 剩下
remain 剩低
remain 剩余
remain 殘存
remain 遺留
remainder 餘數
remains 依然
remake 再製
remark 備註
remark 評註
remarkable 不平常的
remarkably 不平常的
remarket 重新上市
remarks 說法
remarque 標記
remarry 再嫁娶
remediably 可治療地
remedy 補救
remedy 補救辦法
rememb 記起
rememb 記憶
remember 想起
remembranc 紀念
remex 飛翔羽
remind 想起
remit 赦免
remit 匯出
remit 匯寄
remittal 發回
remnant 剩餘
remnant 遺物
remodel 改型
remodel 改裝
remold 改造
remold 改鑄
remonetize 重鑄使用
remora 障礙
remorse 極為後悔
remote 遙遠的
remoteness 遠離
remount 再登上
removal 移轉
removal 撤除
remove 拎走
remove 拎開
remove 拿去
remove 移
remove 移去
